feature	alteration_type	alteration	model_id	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
ASXL2	Deletion		A101D_SKIN	0	0	0	0		1	0	1	1	0	1
BCL2	Deletion		A101D_SKIN	0	0	0	0		1	0	1	1	1	1
BRAF	Amplification		A101D_SKIN	1	1	1	0	Clinical evidence	1	1	1	1	1	1
CARS	Deletion		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
CDC73	Deletion		A101D_SKIN	0	0	0	0		0	0	1	1	0	0
CDKN2A	Deletion		A101D_SKIN	1	1	1	0	Preclinical	1	0	1	1	1	1
CLTCL1	Amplification		A101D_SKIN	0	0	0	0		0	1	1	1	0	0
CNTNAP2	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
CREB3L2	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	1	0
CRKL	Amplification		A101D_SKIN	1	1	1	0	Clinical evidence	0	0	0	1	1	1
DGCR8	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
ERBB4	Deletion		A101D_SKIN	0	0	0	0		1	0	1	1	1	1
EZH2	Amplification		A101D_SKIN	1	0	0	0		1	0	1	1	0	1
FAM131B	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
FAM135B	Deletion		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
FHIT	Deletion		A101D_SKIN	0	0	0	0		0	0	1	1	1	1
GRIN2A	Deletion		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
JAK2	Deletion		A101D_SKIN	1	0	0	0		0	0	1	1	1	1
KIAA1549	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	0
LZTR1	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
MECOM	Amplification		A101D_SKIN	0	0	0	0		0	1	1	1	1	1
MET	Amplification		A101D_SKIN	1	1	1	0	Guideline	1	0	1	1	1	1
MNX1	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
POT1	Amplification		A101D_SKIN	1	0	0	0		0	0	1	1	0	0
PTCH1	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	1	1
PTEN	Deletion		A101D_SKIN	1	1	1	0	Clinical evidence	1	1	1	1	1	0
RHEB	Amplification		A101D_SKIN	0	0	0	0		1	0	0	1	0	1
SEPT5	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	1
SMO	Amplification		A101D_SKIN	0	0	0	0		1	0	1	1	1	1
SND1	Amplification		A101D_SKIN	0	0	0	0		0	0	1	1	0	0
TRIM24	Amplification		A101D_SKIN	0	0	0	0		0	1	1	1	0	1
ACSL3	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
CDC73	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
CDKN2A	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Preclinical	1	0	1	1	1	1
CDKN2C	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Clinical evidence	0	1	1	1	0	1
EGFR	Amplification		A1207_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Clinical evidence	1	1	1	1	1	1
MSI2	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
PAX3	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
RGS7	Deletion		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
TFRC	Amplification		A1207_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
ABL1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	1	0
AKT1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	1	1
APOBEC3B	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
ARHGAP5	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ARHGEF10L	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ARHGEF12	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
ARID1A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	1	1	0	Preclinical	1	0	1	1	0	1
ATM	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	1	1
ATP2B3	Amplification		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
BAX	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	1	1	1	1	0
BAZ1A	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
BCL10	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	0	0
BCL11B	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
BCL2	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		1	0	1	1	1	1
BCL9L	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	0
BCORL1	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	0	1
BCR	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		0	0	1	1	1	1
BIRC3	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	0	0	0	0		0	0	1	1	1	1
BRD4	Deletion		A172_CENTRAL_NERVOUS_SYSTEM	1	0	0	0		1	0	1	1	0	1
