broad	ccle_name	sanger	alt_ccle	alt_broad
ACH-000001	NIHOVCAR3_OVARY	SIDM00105		
ACH-000002	HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00829		
ACH-000003	CACO2_LARGE_INTESTINE	SIDM00891		
ACH-000004	HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00594		
ACH-000005	HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00593		
ACH-000006	MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01023		
ACH-000007	LS513_LARGE_INTESTINE	SIDM00677		
ACH-000008	A101D_SKIN	SIDM00801		
ACH-000009	C2BBE1_LARGE_INTESTINE	SIDM01233		
ACH-000010	NCIH2077_LUNG	SIDM01670		
ACH-000011	253J_URINARY_TRACT	SIDM01529		
ACH-000012	HCC827_LUNG	SIDM01067		
ACH-000013	ONCODG1_OVARY	SIDM00093		
ACH-000014	HS294T_SKIN	SIDM00800		
ACH-000015	NCIH1581_LUNG	SIDM00748		
ACH-000016	SLR21_KIDNEY			
ACH-000017	SKBR3_BREAST	SIDM00897		
ACH-000018	T24_URINARY_TRACT	SIDM01184		
ACH-000019	MCF7_BREAST	SIDM00148		
ACH-000020	MHHCALL2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00331		
ACH-000021	NCIH1693_LUNG	SIDM00742		
ACH-000022	PATU8988S_PANCREAS	SIDM00452		
ACH-000023	PATU8988T_PANCREAS	SIDM00453		
ACH-000024	OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00457		
ACH-000025	CH157MN_CENTRAL_NERVOUS_SYSTEM	SIDM01543		
ACH-000026	253JBV_URINARY_TRACT	SIDM01624		
ACH-000027	GOS3_CENTRAL_NERVOUS_SYSTEM	SIDM01635		
ACH-000028	KPL1_BREAST	SIDM00147		
ACH-000029	HCC827GR5_LUNG	SIDM01636		
ACH-000030	PC14_LUNG	SIDM00237		
ACH-000031	PANC0213_PANCREAS	SIDM01325		
ACH-000032	MHHCALL3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM01693		
ACH-000033	NCIH1819_LUNG	SIDM01674		
ACH-000034	PLB985_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	SIDM00811		
ACH-000035	NCIH1650_LUNG	SIDM00745		
ACH-000036	U343_CENTRAL_NERVOUS_SYSTEM	SIDM01421		
ACH-000037	S117_THYROID	SIDM00035		
