case	comparison	SNF: FDA & CGC
example	case-profile	0.4562325612471537
example	ACH-000361	0.9969573394660205
example	ACH-000572	0.9969667195499937
example	ACH-000650	0.9969740684705884
example	ACH-000258	0.9970406022194946
example	ACH-000730	0.9972151272118969
example	ACH-000788	0.9972249080209027
example	ACH-000219	0.9972781873810296
example	ACH-000304	0.9972893407654674
example	ACH-000200	0.9972904483220784
example	ACH-000640	0.997295457784654
example	ACH-000827	0.9973063147159394
example	ACH-001039	0.9973068066704049
example	ACH-000236	0.9973204512666182
example	ACH-000052	0.9973357683751475
example	ACH-000906	0.9973373889824638
example	ACH-000008	0.9973565922499361
example	ACH-000835	0.997367608235616
example	ACH-000450	0.9973763073672851
example	ACH-000322	0.9973901415587555
example	ACH-000423	0.997398814600564
example	ACH-000441	0.9974051265400458
example	ACH-000348	0.9974065738604574
example	ACH-000092	0.9974941366498857
example	ACH-000465	0.9975320077773078
example	ACH-000878	0.9975322278356379
example	ACH-000699	0.9975460567500818
example	ACH-000282	0.9975473990793663
example	ACH-000819	0.9975570621986971
example	ACH-000755	0.9975747511119439
example	ACH-000609	0.9975773021713747
example	ACH-000078	0.9975786227598051
example	ACH-000631	0.9975922436305901
example	ACH-000560	0.9975935814164159
example	ACH-000674	0.9976158712730805
example	ACH-000863	0.997616866814995
example	ACH-000040	0.9976348014725438
example	ACH-000329	0.9976437655616518
example	ACH-000244	0.9976817881991975
example	ACH-000947	0.9976838345289099
example	ACH-000486	0.9976843866758919
example	ACH-000062	0.9976915618991141
example	ACH-000448	0.9977053886186014
example	ACH-000291	0.9977217418091401
example	ACH-000722	0.9977380098519346
example	ACH-000242	0.9977432265563847
example	ACH-000787	0.9977450994847795
example	ACH-000425	0.997745475060203
example	ACH-000570	0.997746380280982
example	ACH-000257	0.997748372878906
example	ACH-000580	0.9977499889829242
example	ACH-000098	0.9977520796598159
example	ACH-000849	0.9977554197625589
example	ACH-001189	0.99777487715474
example	ACH-000428	0.9977768706603674
example	ACH-000389	0.9978006737724044
example	ACH-000145	0.9978013016698002
example	ACH-000596	0.9978024906632228
example	ACH-000269	0.9978066273242969
example	ACH-000882	0.9978106542074157
example	ACH-000615	0.9978142645999718
example	ACH-000562	0.9978148887694344
example	ACH-000535	0.9978151037327416
example	ACH-000231	0.9978224959608984
example	ACH-000469	0.9978225822546932
example	ACH-000738	0.9978233253902306
example	ACH-000639	0.9978238041070624
example	ACH-000818	0.9978252589596244
example	ACH-000926	0.997825373481003
example	ACH-001023	0.9978262110358767
example	ACH-001021	0.9978275931768122
example	ACH-000979	0.9978277156836047
example	ACH-000483	0.9978277544953682
example	ACH-000940	0.9978288214942409
example	ACH-000352	0.9978305936891392
example	ACH-000186	0.997831390014522
example	ACH-000449	0.9978326232189503
example	ACH-000759	0.9978333420073893
example	ACH-000903	0.9978336659080552
example	ACH-000720	0.9978384407900945
example	ACH-000828	0.997838967294192
example	ACH-000883	0.9978392383085494
example	ACH-000601	0.9978395078108219
example	ACH-000783	0.9978396190878599
example	ACH-000121	0.997841262614475
example	ACH-000917	0.9978428635850466
example	ACH-000416	0.9978436545015641
example	ACH-000706	0.9978437596647995
example	ACH-000196	0.9978443970145489
example	ACH-000892	0.9978446412217663
example	ACH-000015	0.9978452737288079
example	ACH-000789	0.9978466104611556
example	ACH-000434	0.9978474718921971
example	ACH-000767	0.9978479468388708
example	ACH-000536	0.9978480863154982
example	ACH-001126	0.9978500269635352
example	ACH-000399	0.9978502639735032
example	ACH-000009	0.9978506207897014
example	ACH-000843	0.9978517751839042
example	ACH-000680	0.9978523526211258
example	ACH-000957	0.997852904442664
example	ACH-000259	0.9978537363385476
example	ACH-000603	0.9978542016563362
example	ACH-000100	0.9978547399580288
example	ACH-000437	0.9978555674062999
example	ACH-000663	0.9978556208475872
example	ACH-000614	0.9978560310897299
example	ACH-000784	0.9978561487206368
example	ACH-000625	0.9978570665082885
example	ACH-000704	0.9978588111817648
example	ACH-000347	0.997858932676895
