code	main_type	name	tissue
AA	Soft Tissue Sarcoma	Aggressive Angiomyxoma	Soft Tissue
AASTR	Glioma	Anaplastic Astrocytoma	CNS/Brain
ABC	Mature B-Cell Neoplasms	Activated B-cell Type	Lymphoid
ABL	Leukemia	Acute Basophilic Leukemia	Myeloid
ACA	Adrenocortical Adenoma	Adrenocortical Adenoma	Adrenal Gland
ACBC	Breast Cancer	Adenoid Cystic Breast Cancer	Breast
ACC	Adrenocortical Carcinoma	Adrenocortical Carcinoma	Adrenal Gland
ACCC	Salivary Gland Cancer	Acinic Cell Carcinoma	Head and Neck
ACN	Cancer of Unknown Primary	Acinar Cell Carcinoma, NOS	Other
ACPG	Sellar Tumor	Craniopharyngioma, Adamantinomatous Type	CNS/Brain
ACPP	Choroid Plexus Tumor	Atypical Choroid Plexus Papilloma	CNS/Brain
ACRM	Melanoma	Acral Melanoma	Skin
ACYC	Salivary Gland Cancer	Adenoid Cystic Carcinoma	Head and Neck
ADMA	Bone Cancer	Adamantinoma	Bone
ADNOS	Cancer of Unknown Primary	Adenocarcinoma, NOS	Other
ADPA	Skin Cancer, Non-Melanoma	Aggressive Digital Papillary Adenocarcinoma	Skin
ADRENAL_GLAND	Adrenal Gland Cancer, NOS	Adrenal Gland	Adrenal Gland
AECA	Skin Cancer, Non-Melanoma	Sweat Gland Carcinoma/Apocrine Eccrine Carcinoma	Skin
AFX	Skin Cancer, Non-Melanoma	Atypical Fibroxanthoma	Skin
AGA	Anal Cancer	Anal Gland Adenocarcinoma	Bowel
AGNG	Glioma	Anaplastic Ganglioglioma	CNS/Brain
AHCD	Mature B-Cell Neoplasms	Alpha Heavy-Chain Disease	Lymphoid
AIS	Adenocarcinoma In Situ	Adenocarcinoma In Situ	Other
AITL	Mature T and NK Neoplasms	Angioimmunoblastic T-Cell Lymphoma	Lymphoid
ALAL	Leukemia	Acute Leukemias of Ambiguous Lineage	Myeloid
ALCL	Mature T and NK Neoplasms	Anaplastic Large Cell Lymphoma	Lymphoid
ALCLALKN	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Negative	Lymphoid
ALCLALKP	Mature T and NK Neoplasms	Anaplastic Large-Cell Lymphoma ALK Positive	Lymphoid
ALKLBCL	Mature B-Cell Neoplasms	ALK Positive Large B-Cell Lymphoma	Lymphoid
ALUCA	Non-Small Cell Lung Cancer	Atypical Lung Carcinoid	Lung
AM	Leukemia	AML with Maturation	Myeloid
AMBL	Embryonal Tumor	Large Cell/Anaplastic Medulloblastoma	CNS/Brain
AMKL	Leukemia	Acute Megakaryoblastic Leukemia	Myeloid
AML	Leukemia	Acute Myeloid Leukemia	Myeloid
AMLBCRABL1	Leukemia	AML with BCR-ABL1	Myeloid
AMLCBFBMYH11	Leukemia	AML with inv(16)(p13.1q22) or t(16;16)(p13.1;q22);CBFB-MYH11	Myeloid
AMLCEBPA	Leukemia	AML with Biallelic Mutations of CEBPA	Myeloid
AMLDEKNUP214	Leukemia	AML with t(6;9)(p23;q34.1);DEK-NUP214	Myeloid
AMLGATA2MECOM	Leukemia	AML with inv(3)(q21.3q26.2) or t(3;3)(q21.3;q26.2); GATA2, MECOM	Myeloid
AMLMD	Leukemia	AML with Minimal Differentiation	Myeloid
AMLMLLT3KMT2A	Leukemia	AML with t(9;11)(p21.3;q23.3);MLLT3-KMT2A	Myeloid
AMLMRC	Leukemia	AML with Myelodysplasia-Related Changes	Myeloid
AMLNOS	Leukemia	AML, NOS	Myeloid
AMLNPM1	Leukemia	AML with Mutated NPM1	Myeloid
AMLRBM15MKL1	Leukemia	AML (megakaryoblastic) with t(1;22)(p13.3;q13.3);RBM15-MKL1	Myeloid
AMLRGA	Leukemia	AML with Recurrent Genetic Abnormalities	Myeloid
AMLRUNX1	Leukemia	AML with Mutated RUNX1	Myeloid
AMLRUNX1RUNX1T1	Leukemia	AML with t(8;21)(q22;q22.1);RUNX1-RUNX1T1	Myeloid
AMML	Leukemia	Acute Myelomonocytic Leukemia	Myeloid
AMOL	Leukemia	Acute Monoblastic/Monocytic Leukemia	Myeloid
AMPCA	Ampullary Cancer	Ampullary Carcinoma	Ampulla of Vater
AMPULLA_OF_VATER	Ampullary Carcinoma, NOS	Ampulla of Vater	Ampulla of Vater
AN	Skin Cancer, Non-Melanoma	Atypical Nevus	Skin
ANGL	Miscellaneous Neuroepithelial Tumor	Angiocentric Glioma	CNS/Brain
ANGS	Soft Tissue Sarcoma	Angiosarcoma	Soft Tissue
ANKL	Mature T and NK Neoplasms	Aggressive NK-Cell Leukemia	Lymphoid
ANM	CNS Cancer	Anaplastic Meningioma	CNS/Brain
ANSC	Anal Cancer	Anal Squamous Cell Carcinoma	Bowel
AOAST	Glioma	Anaplastic Oligoastrocytoma	CNS/Brain
AODG	Glioma	Anaplastic Oligodendroglioma	CNS/Brain
APAD	Appendiceal Cancer	Appendiceal Adenocarcinoma	Bowel
APE	CNS Cancer	Anaplastic Ependymoma	CNS/Brain
APLPMLRARA	Leukemia	APL with PML-RARA	Myeloid
APMF	Leukemia	Acute Panmyelosis with Myelofibrosis	Myeloid
APTAD	Sellar Tumor	Atypical Pituitary Adenoma	CNS/Brain
APXA	Glioma	Anaplastic Pleomorphic Xanthoastrocytoma	CNS/Brain
ARMM	Melanoma	Anorectal Mucosal Melanoma	Bowel
ARMS	Soft Tissue Sarcoma	Alveolar Rhabdomyosarcoma	Soft Tissue
ASCT	Head and Neck Cancer	Adenosquamous Carcinoma of the Tongue	Head and Neck
ASM	Mastocytosis	Aggressive Systemic Mastocytosis	Myeloid
ASPS	Soft Tissue Sarcoma	Alveolar Soft Part Sarcoma	Soft Tissue
ASTB	Miscellaneous Neuroepithelial Tumor	Astroblastoma	CNS/Brain
ASTR	Glioma	Astrocytoma	CNS/Brain
ATLL	Mature T and NK Neoplasms	Adult T-Cell Leukemia/Lymphoma	Lymphoid
ATM	CNS Cancer	Atypical Meningioma	CNS/Brain
ATRT	Embryonal Tumor	Atypical Teratoid/Rhabdoid Tumor	CNS/Brain
AUL	Leukemia	Acute Undifferentiated Leukemia	Myeloid
AWDNET	Gastrointestinal Neuroendocrine Tumor	Well-Differentiated Neuroendocrine Tumor of the Appendix	Bowel
AWM	Leukemia	AML without Maturation	Myeloid
BA	Breast Sarcoma	Breast Angiosarcoma	Breast
BCC	Skin Cancer, Non-Melanoma	Basal Cell Carcinoma	Skin
BCCA	Germ Cell Tumor	Choriocarcinoma	CNS/Brain
BCLU	Mature B-Cell Neoplasms	B-Cell Lymphoma, Unclassifiable, with Features Intermediate between DLBCL and Classical Hodgkin lymphoma	Lymphoid
BEC	Germ Cell Tumor	Embryonal Carcinoma	CNS/Brain
