feature	partner	model_id
EIF5A	HMGN2	SIDM00003
MYMK	RRBP1	SIDM00003
PRAME	MAPK1	SIDM00003
SHISA8	LARGE1	SIDM00003
SORD	FAM91A1	SIDM00003
UBC	NCOR2	SIDM00003
GPC5	GPC6	SIDM00006
SHROOM2	TBL1X	SIDM00006
UBE2D2	RCC1	SIDM00006
SERPINB9	RIPK1	SIDM00009
IGSF3	KRIT1	SIDM00018
KCNJ10	CAMK2G	SIDM00018
WDR72	MEIS2	SIDM00018
CASC8	CCAT1	SIDM00023
MIGA2	SLC25A25	SIDM00023
MTHFD1	KIF13A	SIDM00023
WDR38	C3orf52	SIDM00023
ABHD12B	RCC1	SIDM00025
C9orf3	MIR205HG	SIDM00025
DOCK4	IMMP2L	SIDM00025
OSR2	STK3	SIDM00025
CDKN2B-AS1	MTAP	SIDM00026
DHCR24	SSBP3	SIDM00026
EWSR1	FLI1	SIDM00026
FLI1	EWSR1	SIDM00026
MYC	PVT1	SIDM00026
ARL17B	KANSL1	SIDM00027
FLI1	EWSR1	SIDM00027
ARHGEF38	GSTCD	SIDM00040
ARL6	CRYBG3	SIDM00040
C3orf84	LAMB2	SIDM00040
CASC21	PVT1	SIDM00040
CASC21	UBR4	SIDM00040
CASC8	PVT1	SIDM00040
CHRM3	GUK1	SIDM00040
COQ2	SEC31A	SIDM00040
CYP4F26P	UBE2R2	SIDM00040
CYSTM1	ANKHD1	SIDM00040
DLEC1	OXSR1	SIDM00040
FAM76A	DHDDS	SIDM00040
HLA-B	ARHGAP42	SIDM00040
KDM4A	ST3GAL3	SIDM00040
LGI4	UBA2	SIDM00040
MCC	FLNB	SIDM00040
NFU1	GFPT1	SIDM00040
PRKAG2	KMT2C	SIDM00040
RASSF2	ESF1	SIDM00040
RGS7	C1orf131	SIDM00040
RNF125	RNF138	SIDM00040
SCAMP4	CSNK1G2	SIDM00040
SEMA3F	CYB561D2	SIDM00040
SUCO	RABGAP1L	SIDM00040
TTC34	RNF223	SIDM00040
TYMP	SBF1	SIDM00040
KALRN	ACAP2	SIDM00041
LMNTD1	C1QTNF1	SIDM00041
MAP3K2	DDX10	SIDM00041
PASD1	VBP1	SIDM00041
SDHD	CYP27C1	SIDM00041
UBXN7	VGLL4	SIDM00041
CASC8	CCAT1	SIDM00042
CASC8	LRRN1	SIDM00042
DPYSL2	XPO7	SIDM00042
GAB2	NARS2	SIDM00042
KIFC2	CYHR1	SIDM00042
LINC00871	PRPF39	SIDM00042
PVT1	CASC19	SIDM00042
PVT1	CASC8	SIDM00042
PVT1	CCAT1	SIDM00042
S100A11	RSPRY1	SIDM00042
SVOPL	KIAA1549	SIDM00042
DPYD	RBKS	SIDM00043
APOLD1	GPRC5A	SIDM00044
BCL11A	INPPL1	SIDM00044
CS	SMARCC2	SIDM00044
DIP2B	ATF1	SIDM00044
DNM2	SMARCA4	SIDM00044
ELFN2	RTN4R	SIDM00044
FRMD8	MALAT1	SIDM00044
FTL	SNRNP70	SIDM00044
FUT8	SYNE2	SIDM00044
GABBR2	CORO2A	SIDM00044
IL7R	FAM46C	SIDM00044
LINC00640	FRMD6	SIDM00044
LINC01215	LINC-PINT	SIDM00044
LSAMP	SEC61A1	SIDM00044
NCF4	DEPDC5	SIDM00044
OR11G1P	PARP2	SIDM00044
PCNT	DIP2A	SIDM00044
PLXNA4	EPHA6	SIDM00044
RAPGEF4	MAP3K20	SIDM00044
SLC5A12	BBOX1-AS1	SIDM00044
SPEF2	RAI14	SIDM00044
UBE4A	ARCN1	SIDM00044
USP41	SFI1	SIDM00044
VMP1	RPS6KB1	SIDM00044
WDR20	TECPR2	SIDM00044
ANKRD18B	LINGO2	SIDM00045
CIB1	IQGAP1	SIDM00045
FAM205C	SEMA4B	SIDM00045
FAM219A	AP3S2	SIDM00045
IZUMO3	MRPS11	SIDM00045
LINC00824	LDLRAD3	SIDM00045
LINGO2	FANCI	SIDM00045
MFGE8	AP3S2	SIDM00045
MIR9-3HG	CRTC3	SIDM00045
PAMR1	DCAF12	SIDM00045
PAMR1	FGFR2	SIDM00045
SEC24C	VCL	SIDM00045
SLC1A2	APIP	SIDM00045
SLC1A2	CD44	SIDM00045
SPG7	CDK10	SIDM00045
TTLL13P	CRTC3	SIDM00045
ZNF865	HSPBP1	SIDM00045
ARL8B	EDEM1	SIDM00046
C22orf34	NCAPH2	SIDM00046
CABIN1	WNT7B	SIDM00046
DENND6B	PLXNB2	SIDM00046
IQCJ-SCHIP1	MAPT	SIDM00046
MAPT	PHF12	SIDM00046
MCTS1	SLC25A53	SIDM00046
PASD1	GOLIM4	SIDM00046
PPHLN1	DIP2B	SIDM00046
RRBP1	SIPA1L3	SIDM00046
SCHIP1	MAPT	SIDM00046
SH3BGRL	TMEM164	SIDM00046
NPHP4	NOL9	SIDM00047
SLC35A1	TSHZ2	SIDM00047
BNC2	ACO1	SIDM00048
C9orf3	CPSF6	SIDM00048
CYTH4	SPECC1L	SIDM00048
DPH5	MFSD12	SIDM00048
HSPB8	MLXIP	SIDM00048
PLAA	GTF2I	SIDM00048
CENPA	RAB10	SIDM00049
CEP70	PIK3CB	SIDM00049
FRY	SPATA13	SIDM00049
FURIN	CRTC3	SIDM00049
GALNT18	LDLRAD3	SIDM00049
ITPKC	CAMSAP2	SIDM00049
MCF2L2	MCCC1	SIDM00049
P4HA3	SHANK2	SIDM00049
PCCA	GGACT	SIDM00049
PHF21A	KCNQ1	SIDM00049
SBF2	PPFIBP2	SIDM00049
VOPP1	EGFR	SIDM00049
KLHL36	USP10	SIDM00050
NR5A2	PPFIA4	SIDM00050
RNF220	MKNK1	SIDM00050
SLC35A1	TSHZ2	SIDM00050
BAP1	YAP1	SIDM00052
BIRC3	MAPKAPK3	SIDM00052
CLIC5	ARHGAP12	SIDM00052
DIP2C	EFHC1	SIDM00052
MS4A12	SNX14	SIDM00052
NAALADL2	OSBPL11	SIDM00052
SFXN4	FAM45A	SIDM00052
WDR86	DYNC1I1	SIDM00052
CDK5RAP1	RBM39	SIDM00053
FKTN	SLC44A1	SIDM00053
SLC35A1	TSHZ2	SIDM00053
RAF1	ATG7	SIDM00054
C14orf39	ASPG	SIDM00055
CCDC107	MELK	SIDM00055
CSNK1E	LARGE1	SIDM00055
DYSF	OLA1	SIDM00055
FAM219A	AHRR	SIDM00055
FAM219A	PDCD6	SIDM00055
PHF14	NDUFA4	SIDM00055
SELE	SDHC	SIDM00055
SYAP1	TXLNG	SIDM00055
TDRD12	ZNF793	SIDM00055
TERT	WWP1	SIDM00055
TMEM52	GNB1	SIDM00055
TXNDC12	AGBL4	SIDM00055
VPS45	NBPF14	SIDM00055
KIAA0825	FAM172A	SIDM00056
UBC	NCOR2	SIDM00056
LARS2	LIMD1	SIDM00057
SNTB2	TANGO6	SIDM00057
AANAT	TBCD	SIDM00064
C16orf87	GRB2	SIDM00064
ERC1	WNK1	SIDM00064
GAB2	NARS2	SIDM00064
IKBIP	ANKS1B	SIDM00064
LLGL2	SNHG16	SIDM00064
RNF157-AS1	WWP2	SIDM00064
SEPT9	OGFOD3	SIDM00064
UHRF1BP1L	ANKS1B	SIDM00064
VAC14	KATNB1	SIDM00064
CHMP1A	CPSF6	SIDM00070
UBC	NCOR2	SIDM00070
ADAM32	PDE7A	SIDM00077
ALX4	KMT2E	SIDM00077
DDR2	RABGAP1L	SIDM00077
DEK	KIF13A	SIDM00077
DNAH2	TP53	SIDM00077
FAM83H	FAM83H-AS1	SIDM00077
GGT7	NCOA6	SIDM00077
MAP1B	EXT1	SIDM00077
PMFBP1	TXNL4B	SIDM00077
RGS5	IGSF8	SIDM00077
SH3BP5	MTMR3	SIDM00077
FANCD2	RAD18	SIDM00078
ITGB4	UNK	SIDM00078
LCMT1-AS1	NPC1	SIDM00078
MPZL2	MPZL3	SIDM00078
ROCK1	OSBPL1A	SIDM00078
ST13	PACSIN2	SIDM00078
ACTN3	HOOK2	SIDM00079
ADCY6	SPATS2	SIDM00079
CENPX	SLC38A10	SIDM00079
COL4A3	AGFG1	SIDM00079
CPSF4L	FAM104A	SIDM00079
CTCF	PSKH1	SIDM00079
ERC2	NECAP2	SIDM00079
FAM213A	RPARP-AS1	SIDM00079
GRAMD4	TBC1D22A	SIDM00079
HIF1A	SPINT1	SIDM00079
KANSL1	GMEB2	SIDM00079
MLPH	LRRFIP1	SIDM00079
MYO18A	FAM222B	SIDM00079
NBR1	C20orf194	SIDM00079
NTN4	CENPX	SIDM00079
PI4K2B	FBXO42	SIDM00079
PLA2G15	SLC7A6	SIDM00079
RFX2	FBXL20	SIDM00079
SLC44A3-AS1	F3	SIDM00079
SMCO2	PPFIBP1	SIDM00079
SYT16	HIF1A	SIDM00079
ZZEF1	UBE2G1	SIDM00079
EFNA3	TUFT1	SIDM00080
MRPL21	FSTL5	SIDM00080
MRPL21	RCC1	SIDM00080
PMVK	S100A13	SIDM00080
SCAMP3	C1orf43	SIDM00080
SDHD	DIXDC1	SIDM00080
SHANK2-AS2	PPFIA1	SIDM00080
TRIM37	CTTN	SIDM00080
UBC	SCARB1	SIDM00080
VPS72	UBE2Q1	SIDM00080
ABCC9	OR2A1-AS1	SIDM00081
CEP250	DDX27	SIDM00081
LINC00511	SLC39A11	SIDM00081
RASSF3	EPS15	SIDM00081
RTF2	ARFGEF2	SIDM00081
STK38L	MRPS35	SIDM00081
VAPA	ZNF236	SIDM00081
YARS	ZBTB8OS	SIDM00081
PPP1R1B	LASP1	SIDM00082
SLC1A2	PAMR1	SIDM00084
ABCC8	TEAD1	SIDM00085
ANKRD20A19P	PPP4R1	SIDM00085
BPHL	G2E3	SIDM00085
CEP126	DDX10	SIDM00085
LINC01184	CDC25C	SIDM00085
MUC2	PAX6	SIDM00085
PRR16	MIR155HG	SIDM00085
TTC17	PDHX	SIDM00085
UBR7	BTBD7	SIDM00085
ABCA12	FN1	SIDM00086
AKR1B15	CALD1	SIDM00086
ANKRD11	ZFHX3	SIDM00086
ANKS1B	UHRF1BP1L	SIDM00086
CYGB	PRPSAP1	SIDM00086
KBTBD12	FAM117B	SIDM00086
NBEAL1	PLXND1	SIDM00086
RBM4B	C11orf80	SIDM00086
SLC45A2	ADAMTS12	SIDM00086
SOX2-OT	FXR1	SIDM00086
UBC	NCOR2	SIDM00086
VDR	HDAC7	SIDM00086
CARNS1	FCHSD2	SIDM00087
PGM3	ME1	SIDM00087
RASA3	GAS6	SIDM00087
SPESP1	IQCH	SIDM00087
TALDO1	TSPAN4	SIDM00087
TCTN2	DNAH10	SIDM00087
ADK	SAMD8	SIDM00088
DPF3	NUMB	SIDM00088
GNG2	ERO1A	SIDM00088
IQCJ-SCHIP1	PLOD2	SIDM00088
