feature	partner	which_match	model_id	feature_match	feature_match_1	feature_match_2	feature_match_3	feature_match_4	evidence	cancerhotspots_bin	cancerhotspots3D_bin	cgc_bin	cosmic_bin	gsea_pathways_bin	gsea_modules_bin
RUNX1	RUNX1T1	RUNX1T1	SIDM01005	4	1	1	1	1	Preclinical	1	0	1	1	1	1
ATG7	RAF1	RAF1	SIDM00054	3	1	1	1	0	Preclinical	0	0	0	1	0	0
RAF1	SLC6A11	RAF1	SIDM00351	3	1	1	1	0	Preclinical	1	0	1	1	1	0
RUNX1	UBE2Q2P2	RUNX1	SIDM00399	3	1	1	1	0	Preclinical	1	0	1	1	1	1
MBNL1	RAF1	RAF1	SIDM00446	3	1	1	1	0	Preclinical	0	0	0	1	0	1
PRDM7	RUNX1	RUNX1	SIDM00447	3	1	1	1	0	Preclinical	0	0	0	1	0	0
ETV6	RUNX1	RUNX1	SIDM00447	3	1	1	1	0	Preclinical	1	1	1	1	0	1
SLC41A1	SLC45A3	SLC45A3	SIDM00466	3	1	1	1	0	Preclinical	0	0	0	1	0	0
RUNX1	SLC6A19	RUNX1	SIDM00517	3	1	1	1	0	Preclinical	1	0	1	1	1	1
ACTR6	RAF1	RAF1	SIDM00815	3	1	1	1	0	Preclinical	0	0	0	1	0	1
ESRP1	PKHD1L1	ESRP1	SIDM00927	3	1	1	1	0	Preclinical	0	0	0	1	0	1
ACTR2	RAF1	RAF1	SIDM01011	3	1	1	1	0	Preclinical	0	0	0	1	1	1
ATP8A2	RUNX1	RUNX1	SIDM01023	3	1	1	1	0	Preclinical	0	0	0	1	0	1
CFAP298	RUNX1	RUNX1	SIDM01080	3	1	1	1	0	Preclinical	0	0	0	0	0	0
RCAN1	RUNX1	RUNX1	SIDM01130	3	1	1	1	0	Preclinical	0	0	0	1	0	1
OTUD6B-AS1	RUNX1T1	RUNX1T1	SIDM01149	3	1	1	1	0	Preclinical	0	0	0	0	0	0
PIP4P2	RUNX1T1	RUNX1T1	SIDM01149	3	1	1	1	0	Preclinical	0	0	0	0	0	0
BRD4	CTNND2	BRD4	SIDM00257	2	1	1	0	0	Preclinical	1	0	1	1	0	1
BRD4	NUTM1	BRD4	SIDM00367	2	1	1	0	0	Preclinical	1	0	1	1	0	1
BRD4	NUTM1	BRD4	SIDM00809	2	1	1	0	0	Preclinical	1	0	1	1	0	1
EWSR1	FLI1	EWSR1	SIDM00026	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00027	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00195	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00196	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	EWSR1	SIDM00198	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00200	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00201	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	EWSR1	SIDM00203	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00205	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00261	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00262	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00263	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00264	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00265	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00266	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00269	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00386	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00419	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00427	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00621	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM00848	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM01097	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM01111	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	FLI1	FLI1	SIDM01246	4	1	1	1	1	Guideline	0	0	1	1	0	1
EWSR1	ZNRF3	EWSR1	SIDM00105	3	1	1	1	0	Guideline	0	0	1	1	0	1
EML4	MTA3	EML4	SIDM00127	3	1	1	1	0	Guideline	0	0	1	1	0	1
ARHGAP32	FLI1	FLI1	SIDM00172	3	1	1	1	0	Guideline	0	1	0	1	0	1
EWSR1	SH3D19	EWSR1	SIDM00195	3	1	1	1	0	Guideline	0	0	1	1	0	1
FHIT	FLI1	FLI1	SIDM00195	3	1	1	1	0	Guideline	0	0	1	1	1	1
ERG	EWSR1	EWSR1	SIDM00197	3	1	1	1	0	Guideline	1	0	1	1	0	1
ERG	EWSR1	EWSR1	SIDM00202	3	1	1	1	0	Guideline	1	0	1	1	0	1
EMID1	EWSR1	EWSR1	SIDM00317	3	1	1	1	0	Guideline	0	0	0	1	0	1
EMID1	EWSR1	EWSR1	SIDM00544	3	1	1	1	0	Guideline	0	0	0	1	0	1
EML4	MTA3	EML4	SIDM00655	3	1	1	1	0	Guideline	0	0	1	1	0	1
ERG	EWSR1	EWSR1	SIDM00793	3	1	1	1	0	Guideline	1	0	1	1	0	1
